radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
305.796663,0.362,19.849912,0.33,4,12.756,0.029,13.865,0.127,13.508,0.38,12.351,0.062,12.138,0.099
305.800649,0.314,19.811177,0.273,4,11.245,0.029,12.737,0.082,12.212,0.397,10.682,0.1,10.244,0.093
305.802729,0.712,19.992712,0.713,3,14.07,0.029,15.175,0.212,15.006,0.376,13.657,0.011,13.585,0.099
305.804628,0.917,19.822564,0.445,4,13.519,0.062,14.429,0.096,14.197,0.375,13.211,0.049,13.112,0.047
305.815945,0.837,19.905571,0.492,2,15.2,0,16.077,0,16.456,-0.102,14.77,0,NA,NA
305.81695,0.516,19.817759,0.344,2,14.655,0.084,15.138,0.06,15.567,0,14.395,0,NA,NA
305.817742,1.493,19.832734,0.973,2,15.589,0.137,16.173,0.023,NA,NA,NA,NA,NA,NA
305.818858,0.666,19.94995,0.48,4,12.81,0.041,14.275,0.163,13.77,0.399,12.328,0.123,11.891,0.088
305.819296,0.205,19.961743,0.3,4,11.188,0.029,12.822,0.078,12.217,0.404,10.549,0.105,9.934,0.077
305.824078,0.425,19.818864,0.617,3,13.695,0.112,14.856,0.132,14.574,0.481,13.185,0.022,13.115,0
305.824854,0.735,19.940863,0.708,4,13.7,0.075,14.829,0.057,14.586,0.419,13.298,0.037,12.991,0.254
305.827187,0.934,19.824986,0.697,3,14.573,0.102,15.388,0.006,15.419,0.476,14.023,0.089,14.001,0.209
305.830638,0.775,19.843285,0.835,3,14.432,0.064,15.057,0.078,15.132,0.438,14.207,0.022,14.489,0
305.831432,0.802,19.893822,0.5,3,14.402,0.075,14.888,0.091,15.054,0.476,14.244,0.12,NA,NA
305.832307,0.622,19.87272,0.315,2,14.895,0,16.003,0,16.244,-0.086,14.458,0,NA,NA
305.833253,0.799,19.79469,0.623,3,13.973,0.059,14.557,0.173,14.594,0.44,13.747,0.062,13.667,0.141
305.837328,0.566,19.919296,0.914,3,14.035,0.017,14.72,0.172,14.75,0.361,13.848,0.025,13.946,0
305.841009,0.331,19.806656,0.189,4,11.963,0.038,12.582,0.112,12.472,0.399,11.76,0.07,11.721,0.115
305.842054,0.749,19.985408,0.781,3,13.725,0.052,14.262,0.14,14.364,0.366,13.488,0.017,13.572,0.081
305.844885,0.952,19.792085,0.992,3,14.317,0.084,14.948,0.23,15.009,0.382,14.064,0.032,13.965,0
305.845849,0.44,19.881364,0.897,3,14.783,0.075,15.325,0.118,15.348,0.379,14.483,0.094,NA,NA
305.84787,0.343,19.989526,0.606,2,14.614,0.023,15.203,0.061,15.647,0,14.293,0,NA,NA
305.850077,0.276,19.948303,0.373,4,12.126,0.027,13.494,0.088,13.025,0.392,11.641,0.109,11.298,0.053
305.853559,0.54,19.882774,0.845,3,14.196,0.086,14.812,0.194,14.824,0.443,13.924,0.063,NA,NA
305.857229,0.87,19.897264,0.861,4,14.329,0.141,15.166,0.136,15.089,0.412,14.096,0.016,13.884,0
305.861173,0.331,19.768113,0.346,4,12.532,0.03,13.186,0.087,13.047,0.411,12.351,0.069,12.287,0.109
305.871022,0.878,19.830037,1.092,2,15.683,0.105,16.228,0.036,15.81,0,NA,NA,NA,NA
305.872638,0.885,19.778685,0.713,3,14.58,0.12,15.125,0.064,15.166,0.481,14.266,0.011,NA,NA
305.87477,0.611,19.813842,0.876,2,14.61,0.094,16.055,0.022,16.1,0,13.958,0,12.945,0
305.877041,0.674,19.969929,0.764,2,14.641,0.015,15.65,0.028,15.836,0,14.279,0,NA,NA
305.880334,0.363,19.889952,0.933,2,15.4,0,16.689,0,16.79,-0.148,15.024,0,NA,NA
305.880879,0.409,19.808279,0.206,4,11.93,0.029,12.386,0.085,12.359,0.4,11.804,0.06,11.799,0.121
305.882883,0.674,19.937866,0.635,4,13.182,0.047,14.301,0.154,13.927,0.4,12.727,0.086,12.477,0.116
305.883008,0.708,19.792119,1.125,2,15.568,0.05,16.16,0.017,NA,NA,NA,NA,NA,NA
305.883125,0.842,19.829429,0.608,4,13.333,0.024,14.402,0.179,14.082,0.36,12.969,0.096,12.641,0.228
305.883269,0.904,19.968955,0.386,2,14.196,0.062,15.239,0.103,15.539,0,NA,NA,13.595,0
305.886414,1.524,19.786055,1.027,2,15.159,0.138,16.057,0.008,NA,NA,NA,NA,NA,NA
305.888081,0.736,19.964208,0.687,4,13.256,0.044,14.076,0.101,13.86,0.422,12.926,0.074,12.859,0.127
305.88888,0.25,19.922926,0.324,4,12.053,0.031,12.953,0.095,12.702,0.406,11.725,0.08,11.487,0.083
305.889649,0.89,19.938076,0.528,3,14.154,0.024,14.855,0,14.885,0.46,13.89,0.064,NA,NA
305.890053,0.422,19.888663,0.564,4,13.219,0.022,14.398,0.113,14.082,0.371,12.76,0.071,12.438,0.067
305.894135,0.633,19.838239,1.138,3,14.794,0.069,15.931,0.102,15.641,0.666,14.417,0.287,NA,NA
305.895411,1.149,19.953066,0.418,2,14.641,0,15.634,0,15.886,-0.065,14.259,0,NA,NA
305.896664,0.77,19.93458,0.784,4,14.062,0.056,15.072,0.051,14.797,0.476,13.593,0.133,13.392,0.193
305.897601,0.76,19.825023,0.754,4,13.455,0.026,14.371,0.109,14.046,0.37,13.101,0.051,12.836,0.139
305.899619,0.684,19.863367,1.409,3,14.785,0.132,15.836,0.006,15.838,0.31,14.384,0.184,NA,NA
305.903687,0.858,19.943249,1.042,2,14.801,0.033,15.43,0.108,15.799,0,14.572,0,NA,NA
305.90414,0.599,19.801741,0.327,2,14.586,0.03,15.068,0.031,15.471,0,14.408,0,NA,NA
305.905155,0.736,19.88248,0.783,3,14.211,0.058,14.977,0.097,14.945,0.388,13.862,0.054,13.525,0
305.907311,0.742,19.820471,0.763,3,15.167,0.19,15.753,0.006,15.917,0.269,14.845,0.071,NA,NA
305.907983,0.377,19.792957,0.242,4,12.036,0.031,12.577,0.071,12.511,0.403,11.843,0.063,11.827,0.09
305.912894,0.93,19.869318,0.576,3,13.095,0.024,13.783,0.149,13.649,0.396,12.894,0.059,12.809,0.091
305.914808,0.913,19.834973,0.672,2,13.727,-0.079,NA,NA,14.221,0.068,13.497,0.151,13.043,0.172
305.915175,0.426,19.834969,0.783,3,13.702,0.032,14.736,0.075,14.922,0,13.318,0,13.265,0
305.91669,0.784,19.787229,0.564,2,15.329,0.049,15.903,0.017,NA,NA,NA,NA,NA,NA
305.918378,0.383,19.978967,0.949,2,14.84,0,15.611,0,15.871,-0.065,14.464,0,NA,NA
305.919454,0.807,19.875733,0.689,3,14.012,0.073,15.347,0.064,15.044,0.48,13.359,0.011,13.071,0.061
305.921076,0.687,19.925191,0.755,4,13.826,0.058,14.353,0.198,14.329,0.354,13.754,0.088,13.75,0
305.922437,1.116,19.806118,0.864,3,14.057,0.03,14.767,0.134,14.804,0.388,13.737,0.022,13.411,0
305.923646,0.731,19.837752,1.123,3,14.542,0.039,15.163,0.119,15.151,0.374,14.223,0.065,NA,NA
305.924054,0.646,19.970751,0.683,2,14.942,0.042,15.655,0.021,15.934,0,14.557,0,NA,NA
305.924439,0.549,19.796648,0.58,2,14.95,0.008,15.407,0.006,15.936,0,14.738,0,NA,NA
305.927567,0.629,19.954992,0.589,4,13.299,0.042,14.392,0.153,14.068,0.362,12.908,0.075,12.691,0.158
305.929351,0.884,19.907093,0.696,4,14.484,0.054,14.966,0.078,15.103,0.403,14.297,0.119,NA,NA
305.929385,0.461,19.978195,0.877,2,15.053,0.041,15.619,0.096,NA,NA,NA,NA,NA,NA
305.931572,0.738,19.996203,0.847,2,13.05,0.026,14.608,0.012,13.771,0.073,12.535,0.07,12.047,0.09
305.931719,0.631,19.996186,0.718,2,13.014,0.078,14.42,0.021,14.47,0,12.391,0,12.088,0
305.933044,0.743,19.795033,0.454,3,14.102,0.067,14.676,0.105,14.733,0.415,13.893,0.048,14,0
305.933449,1.004,19.914882,0.895,2,15.388,0,16.062,0,NA,NA,15.343,-0.09,NA,NA
305.936385,0.499,19.77514,0.864,4,13.942,0.056,14.917,0.021,14.63,0.45,13.518,0.036,13.27,0.1
305.937553,0.399,19.981666,0.761,2,14.878,0,15.894,0,15.978,-0.072,14.503,0,NA,NA
305.940114,0.668,19.858273,0.613,3,14.198,0.059,14.949,0.213,14.946,0.414,14.006,0.042,14.048,0
305.943544,0.775,19.818588,1.014,4,13.561,0.049,14.361,0.167,14.257,0.393,13.278,0.023,13.265,0.204
305.945249,0.751,19.90706,0.552,2,14.93,0.099,15.546,0.07,15.955,0,14.607,0,NA,NA
305.945462,0.496,19.912552,0.389,3,14.015,0.03,14.622,0.072,14.637,0.531,13.821,0.104,13.776,0
305.946125,0.748,19.834312,0.614,2,15.263,0.086,15.78,0.006,NA,NA,NA,NA,NA,NA
305.949536,0.769,19.979056,0.666,3,14.484,0.193,15.088,0.259,15.056,0.506,14.206,0.078,NA,NA
305.95187,1.163,19.853301,1.048,2,15.549,0.011,16.547,0.036,15.968,0,15.287,0,14.832,0
305.954051,0.257,19.993903,1.37,2,15.47,0.04,15.944,0.073,NA,NA,NA,NA,NA,NA
305.957545,0.649,19.969357,0.612,2,14.146,0.091,15.35,0.03,15.466,0,13.581,0,13.445,0
305.957849,1.168,19.79252,0.874,2,15.019,0.054,15.446,0.034,15.931,0,14.907,0,NA,NA
305.958658,0.729,19.911072,0.773,3,14.439,0.127,15.545,0.26,15.272,0.419,13.892,0.037,13.616,0.01
305.960819,1.065,19.781737,1.082,2,15.207,0.054,16.087,0.227,16.579,0,14.739,0,NA,NA
305.962369,0.578,19.949533,0.322,4,13.001,0.026,13.389,0.097,13.397,0.382,12.909,0.077,13.055,0.157
305.964441,0.963,19.998652,1.162,2,14.197,0.051,15.418,0.084,NA,NA,NA,NA,NA,NA
305.965266,0.316,19.96792,0.253,4,12.632,0.036,13.442,0.075,13.265,0.384,12.375,0.069,12.288,0.096
305.968571,1.45,19.829797,1.008,2,15.021,0.025,15.503,0.049,15.148,0,14.879,0,14.957,0
305.96929,0.555,19.847777,0.548,2,14.964,0.025,15.587,0.031,15.983,0,14.752,0,NA,NA
